A,B
2020-02-24,0.560170496089148
2020-02-25,0.741877512242769
2020-02-26,0.982487426564691
2020-02-27,1.30106515256347
2020-02-28,1.72282421813124
2020-02-29,2.28109313903517
2020-03-01,3.01989814590695
2020-03-02,3.99734602090554
2020-03-03,5.29003839553801
2020-03-04,6.99880312903841
2020-03-05,9.25608527523006
2020-03-06,12.2353901118666
2020-03-07,16.1631944298325
2020-03-08,21.3337038832321
2020-03-09,28.1266712429083
2020-03-10,37.0281006539979
2020-03-11,48.6528906187469
2020-03-12,63.7670983123786
2020-03-13,83.305290213103
2020-03-14,108.375193092423
2020-03-15,140.237696114606
2020-03-16,180.246065395412
2020-03-17,229.726314662095
2020-03-18,289.785212327525
2020-03-19,361.048776705726
2020-03-20,443.365545092018
2020-03-21,535.549953254059
2020-03-22,635.271758546597
2020-03-23,739.187074375107
2020-03-24,843.336248967977
2020-03-25,943.724205559159
2020-03-26,1036.91170889819
2020-03-27,1120.44054907227
2020-03-28,1192.99576269839
2020-03-29,1254.31867135277
2020-03-30,1304.96133503318
2020-03-31,1345.98981997531
2020-04-01,1378.7161843248
2020-04-02,1404.49791916908
2020-04-03,1424.61053071166
2020-04-04,1440.18091996821
2020-04-05,1452.16359874676
2020-04-06,1461.34320685503
2020-04-07,1468.35087443896
2020-04-08,1473.68620505967
2020-04-09,1477.74002616235
2020-04-10,1480.8153831061
2020-04-11,1483.14570740442
2020-04-12,1484.90991873076
2020-04-13,1486.24464479413
2020-04-14,1487.2539260516
2020-04-15,1488.01682110292
2020-04-16,1488.59330978842
2020-04-17,1489.02884283083
2020-04-18,1489.35783014421
2020-04-19,1489.60630508392
2020-04-20,1489.79395345537
